1	0.000000	fe80::60d5:c2ff:fed6:3b1d	ff02::fb	MDNS	107	Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question
93	32.043220	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=890 Ack=1480 Win=42496 Len=31 TSval=4221974084 TSecr=768797271 [TCP segment of a reassembled PDU]
94	32.043627	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1480 Ack=921 Win=43520 Len=51 TSval=768798274 TSecr=4221974084 [TCP segment of a reassembled PDU]
95	32.043636	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=921 Ack=1531 Win=42496 Len=0 TSval=4221974085 TSecr=768798274
96	33.047832	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=921 Ack=1531 Win=42496 Len=31 TSval=4221975089 TSecr=768798274 [TCP segment of a reassembled PDU]
97	33.048066	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1531 Ack=952 Win=43520 Len=51 TSval=768799278 TSecr=4221975089 [TCP segment of a reassembled PDU]
98	33.048076	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=952 Ack=1582 Win=42496 Len=0 TSval=4221975089 TSecr=768799278
99	34.049823	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=952 Ack=1582 Win=42496 Len=31 TSval=4221976091 TSecr=768799278 [TCP segment of a reassembled PDU]
100	34.050049	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1582 Ack=983 Win=43520 Len=51 TSval=768800280 TSecr=4221976091 [TCP segment of a reassembled PDU]
101	34.050062	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=983 Ack=1633 Win=42496 Len=0 TSval=4221976091 TSecr=768800280
102	35.051648	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=983 Ack=1633 Win=42496 Len=31 TSval=4221977093 TSecr=768800280 [TCP segment of a reassembled PDU]
103	35.051917	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1633 Ack=1014 Win=43520 Len=51 TSval=768801282 TSecr=4221977093 [TCP segment of a reassembled PDU]
104	35.051931	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=1014 Ack=1684 Win=42496 Len=0 TSval=4221977093 TSecr=768801282
105	36.053652	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=1014 Ack=1684 Win=42496 Len=31 TSval=4221978095 TSecr=768801282 [TCP segment of a reassembled PDU]
106	36.053927	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1684 Ack=1045 Win=43520 Len=51 TSval=768802284 TSecr=4221978095 [TCP segment of a reassembled PDU]
107	36.053941	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=1045 Ack=1735 Win=42496 Len=0 TSval=4221978095 TSecr=768802284
108	37.056456	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=1045 Ack=1735 Win=42496 Len=31 TSval=4221979097 TSecr=768802284 [TCP segment of a reassembled PDU]
109	37.056829	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1735 Ack=1076 Win=43520 Len=51 TSval=768803287 TSecr=4221979097 [TCP segment of a reassembled PDU]
110	37.056846	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=1076 Ack=1786 Win=42496 Len=0 TSval=4221979098 TSecr=768803287
